OBJECTID,County name,State name,State abbreviation,FIPS,Precip Above 99th pctl,Precip 1-day max,Precip 5-year max,Temperature average,Temp max 1-day,Temp Days 100 F,Temp Days 105 F,Temp Days 95 F,Temp mean summer,Temp Days Min 70 F,Temp Days Min 0 F,Temp Days Min 32 F,Temp min summer,Precip Annual GWL4,Precip Days 99 pctl GWL4,Shape__Area,Shape__Length
1,Autauga County,Alabama,AL,01001,52.3117896632144,14.680236916793,10.0979473841818,6.39281581577502,6.77768419918261,33.5700001967581,6.1612895162482,70.5347364325272,6.33484211720918,72.7291840001157,-0.0570263160686744,-24.7013159300152,7.38668417930603,10.7141586102937,46.5831682114374,2208625695.5,249567.996268489
2,Baldwin County,Alabama,AL,01003,38.9256079243678,18.2239706282522,12.157254913274,5.90943136402205,6.15027451515198,23.378352913202,2.3782843152682,74.9433525683833,5.85375487570669,64.467960806454,-0.0078627451519281,-13.6910588320564,6.7035196388469,10.1743826211668,42.497646447384,5743992386.45898,1089821.77184389
3,Barbour County,Alabama,AL,01005,59.7439827500728,18.2637720275343,14.4525789628949,6.17529823068987,6.73191227829247,31.4324209648266,5.47361403180842,70.3240178426107,6.19319298392848,75.3709469176175,-0.0248421052176701,-20.0524384682639,7.2092807334766,12.2626831991631,60.3066719770432,3257820458.71094,319302.785565062
4,Bibb County,Alabama,AL,01007,48.4514774842696,15.0095908208327,12.4671591086821,6.52259090813724,6.9442045471885,32.1645001931624,6.97975001551888,67.8484318473122,6.532749988816,77.7161367589777,-0.117681818590923,-28.4085226925937,7.61881822889501,10.1365231167186,41.3328288990062,2312191184.34766,227908.465700332
5,Blount County,Alabama,AL,01009,60.1028863733465,15.9441818757491,15.9172728495164,6.57236363671043,6.96290905909105,24.4508863362399,5.06243181770498,57.8551816940308,6.50643185052005,76.2280908064409,-0.208727272058075,-31.9870907610113,7.60249999436465,10.0348299416629,57.966926652558,2456981053.80859,291354.812144227
6,Bullock County,Alabama,AL,01011,55.1462195791849,15.9350487081016,9.0663414815577,6.28536584900647,6.78382925870942,29.750829277969,4.92168293929682,69.5050975520436,6.27075608183698,77.5628295526272,-0.0388780485202626,-22.7771952094101,7.29636585421678,11.9038890978185,52.7737206439583,2262904442.65625,248296.343458156
7,Butler County,Alabama,AL,01013,51.6026602935791,16.2408400726318,10.3659199905396,6.22397999763489,6.57176000595093,30.3519801330567,4.62944001197815,73.3043003845215,6.13404001235962,83.2552403259277,-0.0421599995344877,-22.2486600494385,7.17519998550415,10.9977449226379,49.2143398466564,2794862326.57422,220916.246873247
8,Calhoun County,Alabama,AL,01015,50.3881705679545,14.6752682429988,10.3872194290161,6.52824392551329,6.98646340719083,23.1468536563036,3.97914631773786,58.3981220896651,6.54126829054297,76.6255610396222,-0.143902439169767,-31.0787073461021,7.61100001451446,8.50624631090862,52.7959691529633,2300831381.36328,263700.738065548
9,Chambers County,Alabama,AL,01017,56.4303785788046,17.2196759404363,9.85164867865073,6.35254053167395,6.67018918733339,23.4240811837686,3.5886486478754,60.4549729630754,6.23964863854486,81.0192695823876,-0.102270270118842,-29.6004864460713,7.28594594388395,10.5558923515114,59.7687446594238,2222809668.83594,208469.847647771
10,Cherokee County,Alabama,AL,01019,59.8035501480103,15.8337999820709,13.34359998703,6.65600000619888,7.23910003900528,24.7822499036789,4.79820000827312,58.3870750427246,6.77239999771118,76.4848249435425,-0.172800000570714,-31.8873250961304,7.78082499504089,9.55361866950989,59.3572104627436,2275914436.54688,236879.697852668
11,Chilton County,Alabama,AL,01021,52.2089762006487,15.6024525052025,11.7531905060723,6.35340474900745,6.79838097663153,28.8224283400036,5.34397620246524,65.798095703125,6.40764285269238,79.4396197001139,-0.0994285715832597,-27.5742382322039,7.48028567859105,11.0223722684951,46.2368748597424,2578717044.22656,248558.700007906
12,Choctaw County,Alabama,AL,01023,44.5659491975429,16.3455085431115,16.8070338782618,6.38389832286512,6.54630507453013,36.8722543231512,7.21747457374961,74.6494401834779,6.41635595741919,75.5729154166529,-0.0527457630861614,-25.3346949755135,7.58062711812682,9.51686935101525,44.0876634179092,3327371902.02734,324905.986667732
13,Clarke County,Alabama,AL,01025,45.887734135495,14.7862530961821,10.9584050238887,6.24077217488349,6.42606329616112,34.7837848421893,6.19855695434763,74.6309237902678,6.2453797557686,76.0761774763276,-0.0450253165739624,-22.969164546532,7.37779745874525,10.6435386319704,45.1395005746321,4492969696.06641,454955.624826686
14,Clay County,Alabama,AL,01027,50.4503251075745,16.0045999765396,11.6510249376297,6.52710000276565,6.98454998731613,17.7601251125336,2.52512499690056,53.9438248634338,6.54800001382828,77.7797746658325,-0.171225000545383,-32.3947502136231,7.64954997301102,9.31584646701812,48.1862844141518,2251089355.49219,244297.486818096
15,Cleburne County,Alabama,AL,01029,48.5996177897734,14.4285882220549,9.78941174114452,6.436411745408,6.93885295531329,15.9666176683762,2.18088234522763,50.4773236443015,6.55658827108495,73.3191474465763,-0.220735293977401,-32.1475291532629,7.63682355600245,9.62250006900114,56.337978127562,2103260405.83984,264752.367375515
16,Coffee County,Alabama,AL,01031,53.2432440781012,18.9908048815844,13.684024345584,6.13134145736694,6.6184878000399,29.9720244058749,4.63504882556636,73.2295126566073,6.12224392774628,76.9944147249548,-0.0213902438650044,-19.0243170668439,7.1397804865023,12.4071161223621,54.5374428033829,2426948307.87891,203448.155272572
17,Colbert County,Alabama,AL,01033,53.8914649431096,12.6332092285156,19.4773488599201,7.01272092863571,7.78599998562835,34.0779305391533,9.35644189701524,64.2715112553086,7.21200000408084,76.2002790584121,-0.354488368644271,-33.5442558111146,8.17230231262917,7.49135016286096,45.0175271194972,2394995836.37891,262007.290970977
18,Conecuh County,Alabama,AL,01035,49.5765535490853,17.8495536020824,15.8155178853444,6.10026784454073,6.38242856093815,30.7280356884003,4.6343035527638,74.5535530362811,6.02019642932074,79.1884291512625,-0.0376607143054051,-21.4185358115605,7.05966071571622,11.6055383171354,53.0116894322057,3042672180.56641,308860.567908097
19,Coosa County,Alabama,AL,01037,51.5898043591043,15.6205869757611,10.2666305044423,6.3424130315366,6.73523914295694,24.0933694010196,3.80821739072385,61.8652604973835,6.30486952740213,81.5784782741381,-0.114369564892157,-29.1486304324606,7.37943480325782,9.28360082792199,46.1533345881197,2457039697.21875,209372.950189771
20,Covington County,Alabama,AL,01039,53.8715872991653,22.1493968660869,18.6677302103194,6.12239679457649,6.48941269375029,33.0984285748194,5.10309521357218,75.6882065061539,6.01742855707804,80.1639203268384,-0.0354126984963105,-21.7656508854457,7.05371426779127,13.4484924286131,53.0019442153304,3710169552.53125,287791.214019867
21,Crenshaw County,Alabama,AL,01041,54.9162221484714,18.5754166179233,13.8195555475023,6.30222217241923,6.68513888782925,29.7995834880405,4.63252778185738,73.022999657525,6.19136109617021,84.8615273369683,-0.0513888888268007,-22.8721387651232,7.23952771557702,12.5510756439633,51.2440127025951,2193998002.85156,285094.12449877
22,Cullman County,Alabama,AL,01043,63.2572551054113,13.9243725421382,16.3208039227654,6.65252942664951,7.11035294626273,25.5540196287866,5.49501959950316,57.9075490914139,6.59449021021525,76.0171568627451,-0.27735294109466,-33.0638823041729,7.66105879989325,9.30796528797524,56.2715548762569,2861233153.89453,294595.512193017
